date,price,weight,strategy_ret,bench_ret,strategy,benchmark
2014-06-11,246.2,0.0,0.0,0.0,1.0,1.0
2014-06-12,245.4,0.0,0.0,-0.003249,1.0,0.996751
2014-06-13,241.7,0.0,0.0,-0.015077,1.0,0.981722
2014-06-16,242.625,0.0,0.0,0.003827,1.0,0.985479
2014-06-17,243.65,0.0,0.0,0.004225,1.0,0.989643
2014-06-18,242.15,0.0,0.0,-0.006156,1.0,0.98355
2014-06-19,242.75,0.0,0.0,0.002478,1.0,0.985987
2014-06-20,238.9,0.0,0.0,-0.01586,1.0,0.970349
2014-06-23,240.3,0.0,0.0,0.00586,1.0,0.976036
2014-06-24,243.3,0.0,0.0,0.012484,1.0,0.988221
2014-06-25,241.4,0.0,0.0,-0.007809,1.0,0.980504
2014-06-26,243.4,0.0,0.0,0.008285,1.0,0.988627
2014-06-27,242.8,0.0,0.0,-0.002465,1.0,0.98619
2014-06-30,243.15,0.0,0.0,0.001442,1.0,0.987612
2014-07-01,243.2,0.5,-0.000397,0.000206,0.999603,0.987815
2014-07-02,245.15,0.5,0.004009,0.008018,1.00361,0.995735
2014-07-03,245.025,0.5,-0.000255,-0.00051,1.003354,0.995227
2014-07-04,244.4,0.5,-0.001275,-0.002551,1.002075,0.992689
2014-07-07,242.95,0.5,-0.002966,-0.005933,0.999102,0.986799
2014-07-08,242.7,0.5,-0.000515,-0.001029,0.998588,0.985784
2014-07-09,241.6,0.5,-0.002266,-0.004532,0.996325,0.981316
2014-07-10,242.05,0.5,0.000931,0.001863,0.997253,0.983144
2014-07-11,239.9,0.5,-0.004441,-0.008882,0.992824,0.974411
2014-07-14,240.75,0.5,0.001772,0.003543,0.994583,0.977864
2014-07-15,243.65,0.5,0.006023,0.012046,1.000573,0.989643
2014-07-16,244.05,0.5,0.000821,0.001642,1.001394,0.991267
2014-07-17,244.75,0.5,0.001434,0.002868,1.00283,0.99411
2014-07-18,244.4,0.5,-0.000715,-0.00143,1.002113,0.992689
2014-07-21,244.45,0.5,0.000102,0.000205,1.002216,0.992892
2014-07-22,246.25,0.5,0.003682,0.007363,1.005906,1.000203
2014-07-23,245.85,0.5,-0.000812,-0.001624,1.005089,0.998578
2014-07-24,246.3,0.5,0.000915,0.00183,1.006009,1.000406
2014-07-25,246.875,0.5,0.001167,0.002335,1.007183,1.002742
2014-07-28,249.15,0.5,0.004608,0.009215,1.011824,1.011982
2014-07-29,251.825,0.5,0.005368,0.010737,1.017255,1.022847
2014-07-30,256.375,0.5,0.009034,0.018068,1.026445,1.041328
2014-07-31,253.9,0.5,-0.004827,-0.009654,1.021491,1.031275
2014-08-01,252.65,1.0,-0.005423,-0.004923,1.015951,1.026198
2014-08-04,252.15,1.0,-0.001979,-0.001979,1.01394,1.024167
2014-08-05,250.7,1.0,-0.005751,-0.005751,1.00811,1.018278
2014-08-06,250.05,1.0,-0.002593,-0.002593,1.005496,1.015638
2014-08-07,248.5,1.0,-0.006199,-0.006199,0.999263,1.009342
2014-08-08,245.275,1.0,-0.012978,-0.012978,0.986295,0.996243
2014-08-11,247.05,1.0,0.007237,0.007237,0.993432,1.003452
2014-08-12,246.75,1.0,-0.001214,-0.001214,0.992226,1.002234
2014-08-13,248.6,1.0,0.007497,0.007497,0.999665,1.009748
2014-08-14,249.25,1.0,0.002615,0.002615,1.002279,1.012388
