date,price,weight,strategy_ret,bench_ret,strategy,benchmark
1990-01-02,851.65,0.0,0.0,0.0,1.0,1.0
1990-01-03,850.85,0.0,0.0,-0.000939,1.0,0.999061
1990-01-04,849.0,0.0,0.0,-0.002174,1.0,0.996888
1990-01-05,843.75,0.0,0.0,-0.006184,1.0,0.990724
1990-01-08,846.7,0.0,0.0,0.003496,1.0,0.994188
1990-01-09,841.35,0.0,0.0,-0.006319,1.0,0.987906
1990-01-10,840.45,0.0,0.0,-0.00107,1.0,0.986849
1990-01-11,841.0,0.0,0.0,0.000654,1.0,0.987495
1990-01-12,830.1,0.0,0.0,-0.012961,1.0,0.974696
1990-01-15,828.35,0.0,0.0,-0.002108,1.0,0.972641
1990-01-16,831.25,0.0,0.0,0.003501,1.0,0.976046
1990-01-17,827.9,0.0,0.0,-0.00403,1.0,0.972113
1990-01-18,830.0,0.0,0.0,0.002537,1.0,0.974579
1990-01-19,831.35,0.0,0.0,0.001627,1.0,0.976164
1990-01-22,820.55,0.0,0.0,-0.012991,1.0,0.963483
1990-01-23,819.4,0.0,0.0,-0.001401,1.0,0.962132
1990-01-24,822.25,0.0,0.0,0.003478,1.0,0.965479
1990-01-25,815.9,0.0,0.0,-0.007723,1.0,0.958023
1990-01-26,815.95,0.0,0.0,6.1e-05,1.0,0.958081
1990-01-29,815.85,0.0,0.0,-0.000123,1.0,0.957964
1990-01-30,814.35,0.0,0.0,-0.001839,1.0,0.956203
1990-01-31,819.65,0.0,0.0,0.006508,1.0,0.962426
1990-02-01,819.25,0.0,0.0,-0.000488,1.0,0.961956
1990-02-02,821.65,0.0,0.0,0.00293,1.0,0.964774
1990-02-05,822.55,0.0,0.0,0.001095,1.0,0.965831
1990-02-06,819.4,0.0,0.0,-0.00383,1.0,0.962132
1990-02-07,824.95,0.0,0.0,0.006773,1.0,0.968649
1990-02-08,824.45,0.0,0.0,-0.000606,1.0,0.968062
1990-02-09,823.55,0.0,0.0,-0.001092,1.0,0.967005
1990-02-12,819.9,0.0,0.0,-0.004432,1.0,0.962719
1990-02-13,821.8,0.0,0.0,0.002317,1.0,0.96495
1990-02-14,822.45,0.0,0.0,0.000791,1.0,0.965714
1990-02-15,825.3,0.0,0.0,0.003465,1.0,0.96906
1990-02-16,822.35,0.0,0.0,-0.003574,1.0,0.965596
1990-02-20,817.9,0.0,0.0,-0.005411,1.0,0.960371
1990-02-21,818.45,0.0,0.0,0.000672,1.0,0.961017
1990-02-22,815.9,0.0,0.0,-0.003116,1.0,0.958023
1990-02-23,814.65,0.0,0.0,-0.001532,1.0,0.956555
1990-02-26,819.0,0.0,0.0,0.00534,1.0,0.961663
1990-02-27,820.5,0.0,0.0,0.001832,1.0,0.963424
1990-02-28,822.1,0.0,0.0,0.00195,1.0,0.965303
1990-03-01,822.95,0.5,1.7e-05,0.001034,1.000017,0.966301
1990-03-02,825.05,0.5,0.001276,0.002552,1.001293,0.968767
1990-03-05,823.65,0.5,-0.000848,-0.001697,1.000443,0.967123
